event_id,match_id,period,minute,team_id,player_id,position_name,duel_type,outcome_name,is_won,loc_x,loc_y
649387db-22e9-443e-94e4-68b51d877ed6,3857276,1,0,788,6301,Center Forward,Aerial Lost,,0,111.9,47.9
aefd53ff-205a-45d3-a6f1-6ed0950e0673,3857276,1,0,788,3625,Left Wing,Aerial Lost,,0,113.5,37.6
caed6247-8e17-419a-8004-16b21701a6fb,3857276,1,5,788,15890,Left Back,Aerial Lost,,0,50.3,24.0
9638d19e-4fcf-44f5-b664-24e553326baa,3857276,1,5,1833,12365,Right Midfield,Aerial Lost,,0,76.8,71.2
a0e57bb7-3e02-4c18-bbb1-291c0f5a5dc3,3857276,1,6,788,3625,Left Wing,Tackle,Lost Out,0,74.4,2.8
7444a4be-3e3a-4a89-ae86-91c7cecee3e9,3857276,1,11,788,5245,Right Back,Tackle,Lost Out,0,45.2,78.9
23d880d4-b835-432a-8338-6ce4e4dd7a63,3857276,1,13,1833,44703,Right Back,Tackle,Won,1,25.3,67.9
3c194c6b-73b5-4b36-92bd-640f3a63e6ac,3857276,1,16,788,5237,Right Wing,Tackle,Lost In Play,0,31.3,72.9
a57ae8ec-50e6-4136-b582-453c7ba3b7d5,3857276,1,16,788,5234,Center Defensive Midfield,Tackle,Success In Play,1,29.8,72.5
0f0e428c-4bcc-41d0-80f8-f939c95b354e,3857276,1,18,788,12149,Right Center Back,Tackle,Won,1,7.5,19.3
d6296071-b30f-45b7-9592-57c7c6338451,3857276,1,19,788,3625,Left Wing,Aerial Lost,,0,56.9,6.8
9506758e-faa9-4edd-9a22-2fac26bcbf8e,3857276,1,25,1833,16252,Left Defensive Midfield,Aerial Lost,,0,92.4,38.8
57a8a7a0-bc75-4246-9c43-f6f2c9608cea,3857276,1,25,788,3625,Left Wing,Tackle,Success In Play,1,26.2,19.5
34316dde-151e-4da6-8893-aa468ae90e70,3857276,1,26,1833,11846,Right Center Back,Aerial Lost,,0,50.1,54.6
7e6d92b1-48cd-4bef-8a1c-7a2f67585b71,3857276,1,26,788,5245,Right Back,Tackle,Lost Out,0,62.6,62.9
4fdfc73c-5199-42ed-9e90-956117237ad9,3857276,1,27,788,3625,Left Wing,Tackle,Won,1,29.8,4.0
c97ec5c1-78ba-4712-800d-9d99b8d36f27,3857276,1,27,1833,44703,Right Back,Tackle,Success In Play,1,77.6,70.0
02fd3462-fca6-4ddb-b72f-ddcb9165d585,3857276,1,32,788,5219,Left Center Back,Tackle,Success In Play,1,27.6,29.0
6414b619-775d-422c-a87c-dd1da3c1a05a,3857276,1,35,788,6301,Center Forward,Tackle,Lost In Play,0,64.3,21.7
3b96d8c1-a154-4e3e-8924-7a8a7169c43f,3857276,1,37,788,15890,Left Back,Tackle,Success In Play,1,7.1,13.7
26cb8fc9-7641-4f70-b5f6-0a6299c97483,3857276,1,39,1833,9922,Right Midfield,Tackle,Won,1,10.2,67.9
f32c7922-be2d-4f47-8db6-9ac74c33bcce,3857276,1,44,788,5245,Right Back,Aerial Lost,,0,52.9,73.9
c242ec4b-e3cf-43ee-8d3d-13c1cb619707,3857276,1,45,1833,16252,Left Defensive Midfield,Tackle,Lost Out,0,73.5,2.1
7964b69a-6a30-4994-abe2-905446df456e,3857276,1,47,788,5219,Left Center Back,Aerial Lost,,0,110.6,46.3
37b8f924-bb3c-471a-9559-707dfe0fcd9a,3857276,1,49,1833,44703,Right Back,Aerial Lost,,0,44.4,68.4
85fcec01-2024-490e-a41b-a0dec28de76e,3857276,2,47,788,5219,Left Center Back,Tackle,Won,1,46.0,2.1
5e4a34dc-f732-45a3-9fa7-8e16f294624a,3857276,2,49,788,5245,Right Back,Tackle,Success In Play,1,17.8,69.0
939bb328-ed20-4942-821c-0546dd51ee93,3857276,2,56,1833,12365,Center Attacking Midfield,Aerial Lost,,0,69.1,29.5
db488c95-4669-4d14-8a3c-f4007025d516,3857276,2,56,788,5237,Right Wing,Tackle,Won,1,74.5,61.3
2a28a794-bae5-4368-8596-884bcfc397aa,3857276,2,56,1833,16252,Left Defensive Midfield,Tackle,Success In Play,1,39.8,33.8
62a2c226-d138-436e-a690-854e07d13503,3857276,2,58,1833,24024,Left Midfield,Aerial Lost,,0,93.5,20.5
9d572570-76d8-4040-90cb-26ffe395b25e,3857276,2,58,1833,9922,Right Midfield,Tackle,Lost In Play,0,37.9,57.1
bb65b36a-1585-4828-b1ce-e7889b5e83a5,3857276,2,60,788,5237,Right Wing,Tackle,Won,1,96.7,75.2
2ba0f01d-c1d0-4a4b-bd88-51657d1d7b35,3857276,2,61,1833,31684,Left Defensive Midfield,Tackle,Success In Play,1,10.3,4.4
2eb20d12-3800-4ba1-a6bd-2b1a4742ff77,3857276,2,62,1833,9922,Right Midfield,Tackle,Success In Play,1,86.9,51.7
258f2fd8-6f1c-4f6c-b1ed-ba5d14946404,3857276,2,62,788,5245,Right Back,Tackle,Lost In Play,0,16.1,53.8
0ed7d1e2-88d7-4c8c-ade9-4065b0e9d34f,3857276,2,62,788,5245,Right Back,Tackle,Success In Play,1,7.1,57.9
02501c03-0173-4f0c-b33d-8de8cd21faa1,3857276,2,63,788,46258,Right Center Midfield,Tackle,Success In Play,1,21.0,68.6
b77b07ca-ceeb-4115-87bb-b9bbb100d4a5,3857276,2,63,788,15890,Left Back,Tackle,Lost Out,0,22.9,2.7
38385cf9-dc14-4bde-a017-afa4104cd051,3857276,2,66,788,6301,Center Forward,Aerial Lost,,0,81.6,74.2
b8f915cb-0c2c-4686-8028-f1ea92110da3,3857276,2,70,788,5219,Left Center Back,Aerial Lost,,0,7.9,42.4
ea3a8d22-7836-46be-b86e-7eef7906c294,3857276,2,70,788,23774,Left Center Midfield,Aerial Lost,,0,1.3,38.5
b773e335-15d8-431f-9e76-ea21eff86b2e,3857276,2,71,788,6301,Center Forward,Aerial Lost,,0,70.6,4.9
c5ed2755-18b3-4b13-a0e1-97c1e0fce6b5,3857276,2,72,1833,9922,Left Midfield,Tackle,Lost Out,0,95.7,4.0
6c866f2f-197f-4657-bbef-8c2ef6c42cb6,3857276,2,73,788,15890,Left Back,Tackle,Lost Out,0,2.2,6.4
9198fe2e-38b9-4c59-a7ed-27bbfdc62b93,3857276,2,73,788,46258,Right Center Midfield,Tackle,Lost In Play,0,40.3,12.6
755de337-a40c-4328-a913-9db874b760ca,3857276,2,74,1833,23828,Left Center Back,Aerial Lost,,0,116.2,48.2
05745704-435b-480f-b13c-3fc7cb4d15fa,3857276,2,74,788,5234,Center Defensive Midfield,Tackle,Won,1,30.6,56.0
506d0e32-ee0b-4394-a6b0-5edfd726d438,3857276,2,79,788,7459,Right Center Back,Tackle,Won,1,2.8,68.0
83a3359f-c4cd-4cfc-8952-48659eddf8ef,3857276,2,80,788,12149,Left Center Back,Tackle,Lost Out,0,39.8,2.3
dc660801-f0e4-42e6-bd14-5537d527a40c,3857276,2,82,788,23774,Left Defensive Midfield,Aerial Lost,,0,69.2,54.7
5fc596e3-c4de-4611-9051-41e46c33903c,3857276,2,86,788,59493,Center Forward,Aerial Lost,,0,86.0,24.3
943d34c8-dcac-49c8-8695-0c0a3749b8a8,3857276,2,87,1833,9036,Left Midfield,Aerial Lost,,0,61.4,44.9
d06dcdc6-26d4-411d-8933-bb18abb65692,3857276,2,87,788,5234,Right Defensive Midfield,Tackle,Success In Play,1,26.6,54.5
1f90c7ec-812e-4238-a7d7-94ec162ba661,3857276,2,88,1833,23828,Left Center Back,Aerial Lost,,0,27.4,39.5
9d2d05e7-8441-47ec-8c7b-f8130f26c464,3857276,2,88,1833,11846,Right Center Back,Tackle,Won,1,52.0,54.9
18cbc06d-bb40-41d7-8341-2c9ff0ae96d2,3857276,2,89,788,23774,Left Wing,Aerial Lost,,0,38.8,16.2
c432a85d-a7b9-431c-b1e8-4319225ff233,3857276,2,89,1833,23828,Left Center Back,Tackle,Success Out,1,41.1,4.7
a32a4e3f-780e-4f83-bb61-c7719650743d,3857276,2,90,788,102668,Left Defensive Midfield,Aerial Lost,,0,27.0,35.0
3c0332cc-68c0-4fd6-9a1e-eb436ed8e481,3857276,2,90,788,7459,Right Center Back,Tackle,Lost In Play,0,3.7,63.5
9254d80b-ba7f-459f-b049-587e5b630fcb,3857276,2,90,788,23774,Left Wing,Tackle,Success In Play,1,14.6,49.3
c487edb6-0d61-4734-81c4-a9ef81adbf54,3857276,2,92,788,23774,Left Wing,Aerial Lost,,0,83.9,8.1
d4f52e9e-c18b-42c6-8b95-079acf677ff6,3857276,2,93,1833,16120,Right Midfield,Tackle,Success In Play,1,37.0,68.8
2184a06f-6615-49be-8af4-6fbfb8ba6dc3,3857271,1,0,768,30714,Right Defensive Midfield,Aerial Lost,,0,42.4,62.2
9c49d4d8-950a-4804-8a9b-f81f43f4b7c8,3857271,1,1,768,3233,Left Wing,Aerial Lost,,0,109.3,32.2
6725c0cb-c73f-49d2-88d1-04b66b25d874,3857271,1,5,768,22084,Right Wing,Aerial Lost,,0,108.8,44.7
2df61114-9d88-42e0-bbce-b0b4742d9498,3857271,1,5,768,22084,Right Wing,Tackle,Lost In Play,0,97.9,73.3
e576ce7d-b56a-45e6-9e82-f8e9abdd5cd6,3857271,1,15,797,23538,Right Wing Back,Aerial Lost,,0,49.4,62.6
2212fecb-31fa-464b-8887-28749d849607,3857271,1,16,768,7843,Center Attacking Midfield,Aerial Lost,,0,82.7,5.5
aa81f2fc-f97e-4293-ae26-78988491a947,3857271,1,21,768,22084,Right Wing,Tackle,Success In Play,1,6.2,72.8
2d70fe21-ebd8-47f3-9dc7-cdb9942c3d2b,3857271,1,21,797,5220,Right Center Back,Tackle,Lost Out,0,101.5,6.6
6c4dbb95-c489-4ad6-bf10-5f90de0e3da2,3857271,1,25,768,22084,Right Wing,Tackle,Lost In Play,0,97.9,51.1
bb962d50-167a-4e86-9483-0e89b9d1e289,3857271,1,26,797,125818,Left Defensive Midfield,Tackle,Success In Play,1,30.3,19.8
b1a3804a-f12c-40b6-92d4-46a2ac4f5342,3857271,1,29,797,23538,Right Wing Back,Tackle,Success Out,1,52.1,70.9
d4df08e3-57f4-4f2c-959e-c15a5516fdae,3857271,1,30,768,30714,Right Defensive Midfield,Tackle,Won,1,26.3,39.5
ca278925-9f77-4958-a390-cb4e66c9e181,3857271,1,30,797,5228,Left Center Back,Aerial Lost,,0,10.2,32.2
c37c9190-18d6-410b-95b4-d15cbc3980ef,3857271,1,30,797,125818,Left Defensive Midfield,Tackle,Lost Out,0,12.2,23.2
ba7816b3-fd38-4756-a3bc-e9d9ffa33515,3857271,1,31,797,5222,Center Back,Aerial Lost,,0,9.6,39.4
abf45047-f768-481c-a1fe-cc88d9930412,3857271,1,32,768,3308,Right Back,Tackle,Success In Play,1,18.2,70.3
bf4c684d-0081-416a-92a7-9cb382b78864,3857271,1,33,768,3943,Left Defensive Midfield,Aerial Lost,,0,31.5,70.3
9d8768bc-5edc-4444-9524-d9b6752467dd,3857271,1,34,797,5228,Left Center Back,Aerial Lost,,0,8.1,42.1
5d8001f0-47af-4982-b63e-8603b8f00556,3857271,1,35,797,5239,Right Wing,Tackle,Success In Play,1,43.9,71.4
47ea1120-0d58-44aa-9f8d-1a44786c927e,3857271,1,35,768,7843,Center Attacking Midfield,Tackle,Success In Play,1,93.8,4.6
6803549d-6235-4757-bbf0-0d3c2ab1c24c,3857271,1,36,797,5226,Center Forward,Aerial Lost,,0,72.0,58.3
b8677f3e-fe4b-4eb8-8847-6638951a314f,3857271,1,36,768,7843,Center Attacking Midfield,Aerial Lost,,0,64.8,20.0
888702ab-f08b-407f-8817-7fae670693f4,3857271,1,37,797,5222,Center Back,Aerial Lost,,0,82.0,32.2
b814cc92-4127-4e95-8f87-ce430e566ed8,3857271,1,38,797,5239,Right Wing,Aerial Lost,,0,51.8,17.1
f038e085-87e2-487e-8469-ced289962231,3857271,1,42,797,5222,Center Back,Aerial Lost,,0,13.1,32.7
ac34e28c-9ea2-4705-8e9c-0aebd9f923fc,3857271,1,44,768,3308,Right Back,Tackle,Lost In Play,0,80.5,69.6
0bc8b3c4-eee2-4312-bba5-35bb6332967f,3857271,1,47,797,5228,Left Center Back,Tackle,Success In Play,1,22.9,39.9
b7d59000-b830-4431-bc8b-fbd08c85da62,3857271,1,49,797,5720,Left Wing Back,Tackle,Won,1,37.4,8.2
c2531129-5ff3-4983-802d-f135b770e845,3857271,1,49,768,30714,Right Defensive Midfield,Tackle,Won,1,63.0,59.2
bc383979-344b-4af0-9240-62938700ce19,3857271,1,52,797,5226,Center Forward,Aerial Lost,,0,67.9,37.4
850268cb-8cb4-4a64-913f-0171016dd358,3857271,1,56,768,3382,Left Back,Aerial Lost,,0,65.5,6.2
061be1ea-6ae1-4c87-bce6-72ced8c99779,3857271,2,46,797,5720,Left Wing Back,Aerial Lost,,0,64.0,17.9
f02e0b8f-ee92-4565-94bc-e33ceefcb065,3857271,2,52,768,3244,Right Center Back,Tackle,Success Out,1,2.5,72.1
8cea43c1-bcc7-4831-9bf1-d4f065cf01cd,3857271,2,52,768,10955,Center Forward,Aerial Lost,,0,64.4,36.9
fd3ea32f-34d3-43c3-a6e8-75ba502a7f0e,3857271,2,53,768,3943,Left Defensive Midfield,Tackle,Won,1,99.4,62.4
360c1ace-a655-4902-9354-80d9f6887457,3857271,2,54,768,3336,Left Center Back,Aerial Lost,,0,107.7,42.6
160a3de4-de13-4e83-83cd-956a01cf77a4,3857271,2,54,768,30714,Right Defensive Midfield,Tackle,Lost Out,0,73.4,72.1
c8d650e7-cf6b-4989-8ecc-d41a8c859831,3857271,2,55,797,5230,Left Attacking Midfield,Tackle,Lost In Play,0,98.1,24.2
a5e86ae9-cde9-4b94-9944-7c03e70ff225,3857271,2,55,797,5228,Left Center Back,Tackle,Lost Out,0,20.3,50.6
0bb0a4d9-d063-4690-9149-164959927564,3857271,2,56,768,3943,Left Defensive Midfield,Aerial Lost,,0,115.6,33.6
c861c72c-91bf-4aae-8755-76dc95a64bf5,3857271,2,57,768,7843,Center Attacking Midfield,Aerial Lost,,0,57.4,8.5
416dd658-2331-4ade-99fd-9b0b5840ff1f,3857271,2,58,797,23538,Right Wing Back,Aerial Lost,,0,10.8,51.7
3739740b-d3e6-4cfb-8bcf-cfc93edc3548,3857271,2,60,797,5720,Left Wing Back,Aerial Lost,,0,73.7,14.1
790665c9-8f31-42db-86bf-a5c33a59f63f,3857271,2,63,768,3308,Right Back,Tackle,Success In Play,1,23.8,76.4
0db9f543-762f-4455-8688-db3021887c70,3857271,2,68,768,3382,Left Back,Aerial Lost,,0,81.3,7.2
fc23bfb1-769d-40c2-9e06-65cbc4470eb8,3857271,2,68,768,3943,Left Defensive Midfield,Tackle,Success In Play,1,66.0,18.9
fa6f4ebd-8bde-4beb-b6dd-0d0cbf6278f6,3857271,2,70,768,10955,Center Forward,Aerial Lost,,0,78.4,52.1
2abb78c5-4ebb-4b3a-9821-ea7bb2689798,3857271,2,78,797,23538,Right Wing Back,Tackle,Lost Out,0,51.6,72.5
579657e0-d031-4db1-9d8b-f24864a6b49e,3857271,2,78,797,5230,Left Wing Back,Tackle,Lost In Play,0,39.9,24.2
03d43ab2-de05-492f-bead-8af023ec5cd5,3857271,2,84,797,5224,Left Center Forward,Aerial Lost,,0,71.0,56.0
abe72cf2-c8a8-45ae-b2f9-50c460b14d25,3857271,2,86,768,3308,Right Back,Tackle,Lost Out,0,20.9,70.1
d60b8269-272c-4e1c-ab05-9d0fd584725c,3857271,2,86,768,3308,Right Back,Tackle,Success In Play,1,32.2,77.8
1f7947c5-1321-4521-9c73-812a4d03efca,3857271,2,90,768,4354,Center Attacking Midfield,Aerial Lost,,0,75.5,46.6
2995d65f-1568-42e7-a9d6-8739056afd2e,3857271,2,90,768,9638,Left Wing,Tackle,Lost In Play,0,72.8,9.9
6b8641d7-1e12-4fe9-b1fd-46e0526d29eb,3857271,2,91,797,5228,Left Center Back,Tackle,Lost Out,0,62.0,6.2
32d0d211-1d35-4cbc-aad6-d72b33c2a1b4,3857296,1,1,782,6989,Left Back,Tackle,Success In Play,1,13.9,6.0
39c4c3a5-9876-4695-87a1-bee973f9f22a,3857296,1,3,782,3176,Right Back,Tackle,Lost Out,0,61.3,69.5
358304b0-87de-48a3-ac4f-c4966b9dc684,3857296,1,6,782,3089,Right Wing,Aerial Lost,,0,72.8,51.8
65e69948-340d-46dd-bf61-ccda8f070ce0,3857296,1,7,785,5463,Right Center Midfield,Tackle,Success In Play,1,77.1,58.4
ff2d33d6-ca0f-47dc-8b3d-fa40047d7b45,3857296,1,21,785,5469,Center Defensive Midfield,Aerial Lost,,0,99.1,44.1
1cdf5ea7-5fb1-4763-b095-22c31d63ac19,3857296,1,24,782,6989,Left Back,Aerial Lost,,0,92.3,27.2
