match_id,match_date,kickoff_time,competition_stage,stadium_name,stadium_country,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,referee_name,referee_country
3857276,2022-12-01,15:00:00.000,Group Stage,Al Thumama Stadium,Qatar,1833,Canada,788,Morocco,1,2,Raphael Claus,Brazil
3857271,2022-11-21,13:00:00.000,Group Stage,Sheikh Khalifa International Stadium,Qatar,768,England,797,Iran,6,2,Raphael Claus,Brazil
3857296,2022-12-01,15:00:00.000,Group Stage,Ahmad bin Ali Stadium,Qatar,785,Croatia,782,Belgium,0,0,Anthony Taylor,England
3857274,2022-11-25,16:00:00.000,Group Stage,Sheikh Khalifa International Stadium,Qatar,941,Netherlands,3565,Ecuador,1,1,Mustapha Ghorbal,Algeria
3857255,2022-12-01,19:00:00.000,Group Stage,Sheikh Khalifa International Stadium,Qatar,778,Japan,772,Spain,2,1,Victor Miguel de Freitas Gomes,South Africa
3857272,2022-11-25,19:00:00.000,Group Stage,Al Bayt Stadium,Qatar,768,England,1839,United States,0,0,Jesús Valenzuela Sáez,Venezuela (Bolivarian Republic)
3857278,2022-11-29,19:00:00.000,Group Stage,Al Thumama Stadium,Qatar,797,Iran,1839,United States,0,1,Antonio Miguel Mateu Lahoz,Spain
3857277,2022-11-23,10:00:00.000,Group Stage,Al Bayt Stadium,Qatar,788,Morocco,785,Croatia,0,0,Fernando Andrés Rapallini,Argentina
3857273,2022-11-25,10:00:00.000,Group Stage,Ahmad bin Ali Stadium,Qatar,907,Wales,797,Iran,0,2,Mario Alberto Escobar Toca,Guatemala
3857275,2022-11-30,15:00:00.000,Group Stage,Education City Stadium ,Qatar,777,Tunisia,771,France,1,0,Matthew Conger,New Zealand
3857261,2022-11-29,19:00:00.000,Group Stage,Ahmad bin Ali Stadium,Qatar,907,Wales,768,England,0,3,Slavko Vinčić,Slovenia
3857290,2022-11-24,10:00:00.000,Group Stage,Al Janoub Stadium   ,Qatar,773,Switzerland,2722,Cameroon,1,0,Facundo Tello Figueroa,Argentina
3857298,2022-11-24,16:00:00.000,Group Stage,Stadium 974,Qatar,780,Portugal,4885,Ghana,3,2,Ismail Elfath,United States of America
3857285,2022-11-21,16:00:00.000,Group Stage,Al Thumama Stadium,Qatar,787,Senegal,941,Netherlands,0,2,Wilton Pereira Sampaio,Brazil
3857282,2022-11-21,19:00:00.000,Group Stage,Ahmad bin Ali Stadium,Qatar,1839,United States,907,Wales,1,1,Abdulrahman Ibrahim Al Jassim,Qatar
3857297,2022-11-26,13:00:00.000,Group Stage,Education City Stadium ,Qatar,789,Poland,799,Saudi Arabia,2,0,Wilton Pereira Sampaio,Brazil
3857294,2022-11-29,15:00:00.000,Group Stage,Al Bayt Stadium,Qatar,941,Netherlands,3566,Qatar,2,0,Bakary Papa Gassama,Gambia
3857266,2022-11-26,16:00:00.000,Group Stage,Stadium 974,Qatar,771,France,776,Denmark,2,1,Szymon Marciniak,Poland
3857284,2022-11-23,13:00:00.000,Group Stage,Sheikh Khalifa International Stadium,Qatar,770,Germany,778,Japan,1,2,Ivan Arcides Barton Cisneros,El Salvador
3857254,2022-11-22,13:00:00.000,Group Stage,Education City Stadium ,Qatar,776,Denmark,777,Tunisia,0,0,César Arturo Ramos Palazuelos,Mexico
3857265,2022-11-22,16:00:00.000,Group Stage,Stadium 974,Qatar,794,Mexico,789,Poland,0,0,Chris Beath,Australia
3857301,2022-11-25,13:00:00.000,Group Stage,Al Thumama Stadium,Qatar,3566,Qatar,787,Senegal,1,3,Antonio Miguel Mateu Lahoz,Spain
3857268,2022-11-23,19:00:00.000,Group Stage,Ahmad bin Ali Stadium,Qatar,782,Belgium,1833,Canada,1,0,Janny Sikazwe,Zambia
