player_id,player_name,player_nickname,jersey_number,team_id,team_name
2941,Ismaïla Sarr,,18,787,Senegal
2954,Youri Tielemans,,8,782,Belgium
2972,Marcus Thuram,,26,771,France
2988,Memphis Depay,,10,941,Netherlands
2989,Alexander Djiku,,23,4885,Ghana
2995,Ángel Fabián Di María Hernández,Ángel Di María,11,779,Argentina
3009,Kylian Mbappé Lottin,Kylian Mbappé,10,771,France
3026,Adrien Rabiot,,14,771,France
3034,Kamil Glik,,15,789,Poland
3043,Christian Dannemann Eriksen,Christian Eriksen,10,776,Denmark
3053,Leroy Sané,,19,770,Germany
3063,Danilo Luiz da Silva,Danilo,2,781,Brazil
3067,Ederson Santana de Moraes,Ederson Moraes,23,781,Brazil
3077,Jan Vertonghen,,5,782,Belgium
3083,Heung-Min Son,Son Heung-Min,7,791,South Korea
3086,Ben Davies,,4,907,Wales
3089,Kevin De Bruyne,,7,782,Belgium
3090,Nicolás Hernán Otamendi,Nicolás Otamendi,19,779,Argentina
3099,Hugo Lloris,,1,771,France
3135,Chang-Hoon Kwon,Kwon Chang-Hoon,22,791,South Korea
3141,André-Frank Zambo Anguissa,André Zambo Anguissa,8,2722,Cameroon
3167,Antonio Rüdiger,,2,770,Germany
3175,Eiji Kawashima,,1,778,Japan
3176,Thomas Meunier,,15,782,Belgium
3193,Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,10,780,Portugal
3196,Wahbi Khazri,,10,777,Tunisia
3202,Gabriel Fernando de Jesus,Gabriel Jesus,18,781,Brazil
3205,Kyle Walker,,2,768,England
3233,Raheem Sterling,Raheem Sterling,10,768,England
3240,Mathew Ryan,Mat Ryan,1,792,Australia
3244,John Stones,,5,768,England
3247,Fábio Henrique Tavares,Fabinho,15,781,Brazil
3264,Vincent Janssen,,18,941,Netherlands
3280,Richarlison de Andrade,Richarlison,9,781,Brazil
3281,Aaron Mooy,,13,792,Australia
3289,Romelu Lukaku Menama,Romelu Lukaku,9,782,Belgium
3295,Thiago Emiliano da Silva,Thiago Silva,3,781,Brazil
3300,Maya Yoshida,,22,778,Japan
3306,Nathan Aké,,5,941,Netherlands
3308,Kieran Trippier,,12,768,England
3311,Daley Blind,,17,941,Netherlands
